@relation aux
@attribute name {'Afghanistan','Albania','Algeria','American-Samoa','Andorra','Angola','Anguilla','Antigua-Barbuda','Argentina','Argentine','Australia','Austria','Bahamas','Bahrain','Bangladesh','Barbados','Belgium','Belize','Benin','Bermuda','Bhutan','Bolivia','Botswana','Brazil','British-Virgin-Isles','Brunei','Bulgaria','Burkina','Burma','Burundi','Cameroon','Canada','Cape-Verde-Islands','Cayman-Islands','Central-African-Republic','Chad','Chile','China','Colombia','Comorro-Islands','Congo','Cook-Islands','Costa-Rica','Cuba','Cyprus','Czechoslovakia','Denmark','Djibouti','Dominica','Dominican-Republic','Ecuador','Egypt','El-Salvador','Equatorial-Guinea','Ethiopia','Faeroes','Falklands-Malvinas','Fiji','Finland','France','French-Guiana','French-Polynesia','Gabon','Gambia','Germany-DDR','Germany-FRG','Ghana','Gibraltar','Greece','Greenland','Grenada','Guam','Guatemala','Guinea','Guinea-Bissau','Guyana','Haiti','Honduras','Hong-Kong','Hungary','Iceland','India','Indonesia','Iran','Iraq','Ireland','Israel','Italy','Ivory-Coast','Jamaica','Japan','Jordan','Kampuchea','Kenya','Kiribati','Kuwait','Laos','Lebanon','Lesotho','Liberia','Libya','Liechtenstein','Luxembourg','Malagasy','Malawi','Malaysia','Maldive-Islands','Mali','Malta','Marianas','Mauritania','Mauritius','Mexico','Micronesia','Monaco','Mongolia','Montserrat','Morocco','Mozambique','Nauru','Nepal','Netherlands','Netherlands-Antilles','New-Zealand','Nicaragua','Niger','Nigeria','Niue','North-Korea','North-Yemen','Norway','Oman','Pakistan','Panama','Papua-New-Guinea','Parguay','Peru','Philippines','Poland','Portugal','Puerto-Rico','Qatar','Romania','Rwanda','San-Marino','Sao-Tome','Saudi-Arabia','Senegal','Seychelles','Sierra-Leone','Singapore','Soloman-Islands','Somalia','South-Africa','South-Korea','South-Yemen','Spain','Sri-Lanka','St-Helena','St-Kitts-Nevis','St-Lucia','St-Vincent','Sudan','Surinam','Swaziland','Sweden','Switzerland','Syria','Taiwan','Tanzania','Thailand','Togo','Tonga','Trinidad-Tobago','Tunisia','Turkey','Turks-Cocos-Islands','Tuvalu','UAE','UK','US-Virgin-Isles','USA','USSR','Uganda','Uruguay','Vanuatu','Vatican-City','Venezuela','Vietnam','Western-Samoa','Yugoslavia','Zaire','Zambia','Zimbabwe'}
@attribute landmass {'1','2','3','4','5','6'}
@attribute zone {'1','2','3','4'}
@attribute area numeric
@attribute population numeric
@attribute language {'1','2','3','4','5','6','7','8','9','10'}
@attribute religion {'0','1','2','3','4','5','6','7'}
@attribute bars {'0','1','2','3','5'}
@attribute stripes {'0','1','2','3','4','5','6','7','9','11','13','14'}
@attribute colours {'1','2','3','4','5','6','7','8'}
@attribute red {'0','1'}
@attribute green {'0','1'}
@attribute blue {'0','1'}
@attribute gold {'0','1'}
@attribute white {'0','1'}
@attribute black {'0','1'}
@attribute orange {'0','1'}
@attribute mainhue {'black','blue','brown','gold','green','orange','red','white'}
@attribute circles {'0','1','2','4'}
@attribute crosses {'0','1','2'}
@attribute saltires {'0','1'}
@attribute quarters {'0','1','4'}
@attribute sunstars {'0','1','2','3','4','5','6','7','9','10','14','15','22','50'}
@attribute crescent {'0','1'}
@attribute triangle {'0','1'}
@attribute icon {'0','1'}
@attribute animate {'0','1'}
@attribute text {'0','1'}
@attribute topleft {'black','blue','gold','green','orange','red','white'}
@attribute class {'minority','majority'}
@data
'South-Africa','4','2',1221,29,'6','1','0','3','5','1','1','1','0','1','0','1','orange','0','1','1','0','0','0','0','0','0','0','orange','majority'
'South-Korea','5','1',99,39,'10','7','0','0','4','1','0','1','0','1','1','0','white','1','0','0','0','0','0','0','1','0','0','white','majority'
'South-Yemen','5','1',288,2,'8','2','0','3','4','1','0','1','0','1','1','0','red','0','0','0','0','1','0','1','0','0','0','red','majority'
'Spain','3','4',505,38,'2','0','0','3','2','1','0','0','1','0','0','0','red','0','0','0','0','0','0','0','0','0','0','red','minority'
'Sri-Lanka','5','1',66,15,'10','3','2','0','4','0','1','0','1','0','0','1','gold','0','0','0','0','0','0','0','1','1','0','gold','majority'
'St-Helena','4','3',0,0,'1','1','0','0','7','1','1','1','1','1','0','1','blue','0','1','1','1','0','0','0','1','0','0','white','majority'
'St-Kitts-Nevis','1','4',0,0,'1','1','0','0','5','1','1','0','1','1','1','0','green','0','0','0','0','2','0','1','0','0','0','green','minority'
'St-Lucia','1','4',0,0,'1','1','0','0','4','0','0','1','1','1','1','0','blue','0','0','0','0','0','0','1','0','0','0','blue','majority'
'St-Vincent','1','4',0,0,'1','1','5','0','4','0','1','1','1','1','0','0','green','0','0','0','0','0','0','0','1','1','1','blue','majority'
'Sudan','4','1',2506,20,'8','2','0','3','4','1','1','0','0','1','1','0','red','0','0','0','0','0','0','1','0','0','0','red','majority'
'Surinam','2','4',63,0,'6','1','0','5','4','1','1','0','1','1','0','0','red','0','0','0','0','1','0','0','0','0','0','green','majority'
'Swaziland','4','2',17,1,'10','1','0','5','7','1','0','1','1','1','1','1','blue','0','0','0','0','0','0','0','1','0','0','blue','majority'
'Sweden','3','1',450,8,'6','1','0','0','2','0','0','1','1','0','0','0','blue','0','1','0','0','0','0','0','0','0','0','blue','majority'
'Switzerland','3','1',41,6,'4','1','0','0','2','1','0','0','0','1','0','0','red','0','1','0','0','0','0','0','0','0','0','red','minority'
'Syria','5','1',185,10,'8','2','0','3','4','1','1','0','0','1','1','0','red','0','0','0','0','2','0','0','0','0','0','red','majority'
'Taiwan','5','1',36,18,'7','3','0','0','3','1','0','1','0','1','0','0','red','1','0','0','1','1','0','0','0','0','0','blue','minority'
'Tanzania','4','2',945,18,'10','5','0','0','4','0','1','1','1','0','1','0','green','0','0','0','0','0','0','1','0','0','0','green','majority'
'Thailand','5','1',514,49,'10','3','0','5','3','1','0','1','0','1','0','0','red','0','0','0','0','0','0','0','0','0','0','red','minority'
'Togo','4','1',57,2,'3','7','0','5','4','1','1','0','1','1','0','0','green','0','0','0','1','1','0','0','0','0','0','red','majority'
'Tonga','6','2',1,0,'10','1','0','0','2','1','0','0','0','1','0','0','red','0','1','0','1','0','0','0','0','0','0','white','minority'
'Trinidad-Tobago','2','4',5,1,'1','1','0','0','3','1','0','0','0','1','1','0','red','0','0','0','0','0','0','1','0','0','0','white','majority'
'Tunisia','4','1',164,7,'8','2','0','0','2','1','0','0','0','1','0','0','red','1','0','0','0','1','1','0','0','0','0','red','minority'
'Turkey','5','1',781,45,'9','2','0','0','2','1','0','0','0','1','0','0','red','0','0','0','0','1','1','0','0','0','0','red','minority'
'Turks-Cocos-Islands','1','4',0,0,'1','1','0','0','6','1','1','1','1','1','0','1','blue','0','1','1','1','0','0','0','1','1','0','white','majority'
'Tuvalu','6','2',0,0,'1','1','0','0','5','1','0','1','1','1','0','0','blue','0','1','1','1','9','0','0','0','0','0','white','majority'
'UAE','5','1',84,1,'8','2','1','3','4','1','1','0','0','1','1','0','green','0','0','0','0','0','0','0','0','0','0','red','majority'
'Uganda','4','1',236,13,'10','5','0','6','5','1','0','0','1','1','1','0','gold','1','0','0','0','0','0','0','0','1','0','black','minority'
'UK','3','4',245,56,'1','1','0','0','3','1','0','1','0','1','0','0','red','0','1','1','0','0','0','0','0','0','0','white','minority'
'Uruguay','2','3',178,3,'2','0','0','9','3','0','0','1','1','1','0','0','white','0','0','0','1','1','0','0','0','0','0','white','majority'
'US-Virgin-Isles','1','4',0,0,'1','1','0','0','6','1','1','1','1','1','0','0','white','0','0','0','0','0','0','0','1','1','1','white','majority'
'USA','1','4',9363,231,'1','1','0','13','3','1','0','1','0','1','0','0','white','0','0','0','1','50','0','0','0','0','0','blue','minority'
'USSR','5','1',22402,274,'5','6','0','0','2','1','0','0','1','0','0','0','red','0','0','0','0','1','0','0','1','0','0','red','minority'
'Vanuatu','6','2',15,0,'6','1','0','0','4','1','1','0','1','0','1','0','red','0','0','0','0','0','0','1','0','1','0','black','majority'
'Vatican-City','3','1',0,0,'6','0','2','0','4','1','0','0','1','1','1','0','gold','0','0','0','0','0','0','0','1','0','0','gold','majority'
'Venezuela','2','4',912,15,'2','0','0','3','7','1','1','1','1','1','1','1','red','0','0','0','0','7','0','0','1','1','0','gold','minority'
'Vietnam','5','1',333,60,'10','6','0','0','2','1','0','0','1','0','0','0','red','0','0','0','0','1','0','0','0','0','0','red','minority'
'Western-Samoa','6','3',3,0,'1','1','0','0','3','1','0','1','0','1','0','0','red','0','0','0','1','5','0','0','0','0','0','blue','minority'
'Yugoslavia','3','1',256,22,'6','6','0','3','4','1','0','1','1','1','0','0','red','0','0','0','0','1','0','0','0','0','0','blue','minority'
'Zaire','4','2',905,28,'10','5','0','0','4','1','1','0','1','0','0','1','green','1','0','0','0','0','0','0','1','1','0','green','majority'
'Zambia','4','2',753,6,'10','5','3','0','4','1','1','0','0','0','1','1','green','0','0','0','0','0','0','0','0','1','0','green','majority'
'Zimbabwe','4','2',391,8,'10','5','0','7','5','1','1','0','1','1','1','0','green','0','0','0','0','1','0','1','1','1','0','green','majority'
