@relation R_data_frame

@attribute Bit.0 {0,1}
@attribute Bit.1 {0,1}
@attribute Bit.2 {0,1}
@attribute Bit.3 {0,1}
@attribute Bit.4 {0,1}
@attribute Bit.5 {0,1}
@attribute Bit.6 {0,1}
@attribute Bit.7 {0,1}
@attribute Bit.8 {0,1}
@attribute Bit.9 {0,1}
@attribute class {majority,minority}

@data
0,0,0,0,1,0,0,1,0,0,minority
0,1,1,1,1,1,0,1,0,0,majority
0,0,0,0,1,0,1,0,0,0,minority
0,1,1,1,1,1,1,1,1,1,majority
1,1,0,0,0,1,1,0,0,1,minority
0,0,0,1,0,0,1,0,1,0,majority
1,1,0,0,0,1,0,0,0,0,minority
1,1,0,1,1,1,1,1,0,1,majority
1,0,1,1,0,0,1,1,1,0,majority
0,1,0,1,0,1,0,1,1,0,majority
0,0,0,0,1,0,1,1,0,1,majority
1,0,1,1,1,0,1,0,0,0,majority
0,0,1,0,0,1,1,1,0,0,majority
1,1,1,0,1,0,1,1,0,0,majority
0,0,0,1,0,0,0,1,1,1,majority
0,0,0,0,1,1,1,1,1,1,majority
1,1,0,0,1,1,0,1,0,1,majority
0,1,0,0,1,0,1,0,0,1,minority
0,1,0,0,0,0,0,1,1,1,minority
1,0,1,0,1,0,0,1,0,0,majority
0,1,1,0,0,1,0,1,1,0,majority
0,1,0,1,0,1,1,1,0,0,majority
1,0,0,0,0,0,1,1,0,1,minority
1,1,0,1,1,0,0,0,1,0,majority
0,0,1,1,0,0,1,0,0,1,majority
1,1,1,0,1,1,0,0,0,0,majority
0,1,0,1,0,0,1,1,0,0,majority
1,1,0,0,1,0,1,0,0,1,minority
1,1,1,1,0,0,1,0,0,0,majority
0,0,0,1,0,0,0,0,1,1,minority
1,1,1,0,0,1,0,1,1,1,majority
1,0,0,1,0,1,1,0,1,1,majority
1,0,1,0,1,1,0,0,1,1,majority
0,1,0,1,1,1,0,1,0,1,majority
1,0,1,0,1,1,1,0,1,1,majority
1,0,1,0,0,0,0,1,0,1,minority
1,1,0,0,0,0,1,1,0,1,minority
1,1,1,0,0,0,1,1,1,0,majority
1,0,0,1,0,1,0,0,0,1,minority
0,0,0,0,1,0,0,1,1,1,majority
0,0,0,0,1,1,1,0,1,1,majority
1,1,1,1,1,0,0,1,0,1,majority
0,1,1,0,0,1,1,0,0,1,majority
0,0,1,0,1,0,0,0,0,1,minority
1,1,0,1,1,1,1,0,0,0,majority
0,1,1,0,0,0,1,1,0,1,majority
1,0,1,1,1,0,1,1,1,1,majority
1,0,1,0,1,0,0,1,1,0,majority
0,0,0,1,1,0,0,1,0,0,majority
1,0,1,1,1,1,0,1,1,0,majority
1,0,1,0,0,0,1,1,0,1,majority
0,1,1,0,1,0,0,0,0,0,minority
0,1,1,1,0,1,0,1,1,1,majority
0,1,0,1,0,1,0,0,0,0,minority
0,1,1,0,1,1,0,1,1,0,majority
0,0,1,1,1,1,0,1,1,1,majority
1,0,0,1,0,0,0,0,1,0,minority
0,0,0,1,1,1,0,0,0,0,majority
0,1,0,0,0,0,1,0,1,1,minority
1,1,1,1,1,1,1,1,0,1,majority
1,1,1,0,0,1,1,0,1,0,majority
1,1,0,1,0,0,0,0,0,1,minority
0,1,1,0,1,1,1,1,1,0,majority
1,0,0,0,0,1,1,0,1,0,majority
1,0,0,0,0,1,1,1,0,1,majority
1,1,1,0,0,1,1,1,0,0,majority
1,1,0,1,1,0,0,1,0,1,majority
1,0,0,0,1,1,0,1,1,0,majority
1,1,0,1,1,0,1,0,1,1,majority
1,0,0,1,0,0,0,1,0,0,minority
0,0,0,1,0,1,0,1,0,0,majority
0,0,1,1,1,0,1,1,0,1,majority
0,0,1,1,1,1,0,0,0,1,majority
0,0,1,1,0,1,0,0,1,1,majority
1,0,1,0,0,1,1,1,0,0,majority
1,1,1,0,0,0,1,0,1,1,majority
0,1,1,0,0,1,1,1,0,1,majority
1,0,1,1,0,1,1,0,1,1,majority
1,1,1,1,1,1,0,1,1,1,majority
0,1,1,1,0,0,1,0,0,0,majority
0,1,0,0,1,1,0,0,0,1,minority
0,1,1,0,0,0,1,1,1,1,majority
1,0,1,1,1,1,0,0,1,1,majority
1,1,0,1,0,0,1,0,0,1,minority
0,0,1,0,1,1,1,1,1,0,majority
1,0,0,0,0,0,0,0,0,0,minority
0,0,1,0,0,1,1,0,0,1,majority
0,1,1,0,1,1,1,1,0,1,majority
1,1,0,0,0,1,1,1,0,1,majority
1,1,1,0,0,0,1,1,0,1,majority
0,0,1,0,0,1,0,0,0,0,minority
1,1,0,0,0,1,0,0,0,1,minority
1,0,0,0,0,0,0,1,0,1,minority
1,1,1,0,1,1,1,0,1,0,majority
0,0,0,1,0,0,0,0,0,0,minority
0,1,1,1,0,0,1,1,0,0,majority
1,1,0,0,1,0,0,0,0,1,minority
0,1,1,0,1,1,0,1,0,0,majority
0,1,0,0,1,0,0,0,0,0,minority
0,1,1,1,1,1,0,1,1,0,majority
1,0,1,1,1,0,1,0,1,0,majority
0,1,0,0,1,0,0,0,1,0,minority
1,0,1,1,1,1,1,0,0,0,majority
0,1,1,1,1,0,0,1,0,1,majority
1,1,1,0,1,0,1,1,1,1,majority
0,0,0,1,1,0,0,1,0,1,majority
0,0,0,0,0,0,1,1,1,1,majority
1,1,1,1,0,0,0,0,0,0,minority
1,0,0,1,1,0,1,0,1,0,majority
0,0,1,1,1,1,1,0,1,0,majority
0,1,0,0,1,1,0,0,1,1,majority
0,0,1,1,0,0,0,0,1,1,majority
0,1,1,1,1,0,0,0,1,1,majority
1,1,1,1,1,1,1,0,0,1,majority
0,1,1,0,1,1,0,1,0,1,majority
0,1,1,1,0,1,1,1,0,0,majority
0,1,1,1,1,0,1,1,0,1,majority
1,1,1,1,1,0,1,0,0,1,majority
1,1,0,0,0,1,1,0,1,1,majority
1,0,1,0,0,0,1,0,0,0,minority
1,0,1,1,1,0,0,1,1,0,majority
1,0,1,0,0,0,1,0,0,1,minority
1,1,0,1,1,1,1,0,0,1,majority
0,0,1,0,0,0,1,0,1,1,majority
0,1,0,1,1,1,1,1,1,0,majority
1,0,1,1,0,1,0,1,0,0,majority
1,0,1,0,1,0,0,0,1,1,majority
1,1,0,1,0,1,1,0,1,1,majority
0,0,1,1,1,1,0,1,0,0,majority
1,0,1,1,0,1,1,0,1,0,majority
0,0,1,0,0,1,0,0,0,1,minority
1,0,0,1,0,1,0,1,1,1,majority
1,0,1,1,1,0,0,1,1,1,majority
1,0,0,0,0,1,0,1,1,1,majority
1,0,0,0,0,1,1,1,0,0,majority
0,1,1,0,1,1,1,0,1,0,majority
1,1,1,0,1,0,1,0,0,1,majority
1,1,1,1,1,1,0,0,1,0,majority
0,1,0,1,1,0,1,0,1,0,majority
1,0,1,1,1,0,0,0,0,0,majority
0,0,0,1,1,1,0,1,1,0,majority
1,1,0,1,1,1,1,0,1,1,majority
1,0,1,1,0,0,1,0,1,1,majority
1,1,1,0,0,0,0,0,1,1,minority
1,0,0,1,0,1,0,0,1,1,majority
1,0,0,1,1,1,0,0,0,0,majority
0,0,1,1,0,1,0,0,0,1,majority
1,1,1,1,0,1,0,1,0,0,majority
0,0,0,0,1,1,0,0,1,0,majority
1,1,0,1,1,1,1,1,0,0,majority
0,1,1,0,1,0,1,0,0,0,majority
1,1,0,0,1,1,1,0,0,0,majority
1,1,0,1,0,1,1,1,0,1,majority
0,0,1,0,1,1,0,1,0,1,majority
1,0,0,0,1,0,1,0,1,1,majority
0,0,0,0,0,0,0,1,1,0,minority
1,0,0,0,1,1,1,1,0,0,majority
1,1,1,1,0,1,1,0,1,1,majority
1,0,1,0,1,0,1,1,1,0,majority
1,1,0,0,0,1,0,1,1,1,majority
0,0,0,0,1,0,1,1,1,0,majority
0,0,1,0,0,0,0,0,0,1,minority
0,1,0,0,0,0,0,0,1,1,minority
1,0,0,0,1,1,0,0,0,0,minority
1,1,1,0,0,0,0,1,1,1,majority
0,1,1,1,0,1,1,0,0,1,majority
0,0,0,0,0,1,0,0,1,1,minority
0,1,1,1,0,1,0,1,0,1,majority
1,1,1,1,1,0,1,0,1,1,majority
1,0,0,0,1,0,0,1,1,0,majority
0,0,0,0,0,1,1,0,1,1,majority
1,0,1,0,0,1,1,1,0,1,majority
0,0,1,0,0,0,0,0,1,1,minority
0,0,1,0,1,1,0,1,1,0,majority
0,0,0,0,0,0,0,0,0,1,minority
1,0,0,1,0,0,0,0,1,1,minority
1,1,0,1,1,0,1,0,1,0,majority
0,0,0,0,0,1,0,1,1,1,majority
0,0,0,0,0,0,0,0,0,0,minority
0,1,0,0,1,1,1,1,1,1,majority
1,0,0,1,1,0,0,0,1,1,majority
1,1,0,1,1,1,0,1,0,0,majority
0,0,1,0,1,1,0,1,0,0,majority
0,1,0,0,0,1,1,0,1,1,majority
0,0,0,1,0,0,0,0,1,0,minority
1,1,1,1,0,0,1,1,1,0,majority
0,1,1,0,0,1,0,0,1,0,majority
0,0,1,1,0,0,0,0,1,0,majority
0,1,0,0,0,0,1,0,0,0,minority
0,1,0,0,0,0,0,1,1,0,minority
1,0,0,1,0,0,1,1,1,1,majority
0,0,1,0,1,1,0,1,1,1,majority
0,1,1,0,1,0,1,0,1,0,majority
0,0,0,0,0,1,1,1,1,0,majority
1,1,0,0,1,1,1,1,1,0,majority
1,0,0,1,0,0,1,0,1,1,majority
0,1,0,0,0,0,1,1,0,1,minority
1,0,0,0,0,0,1,1,0,0,minority
0,1,1,1,1,0,0,1,0,0,majority
0,0,0,0,1,0,1,0,0,1,minority
0,0,1,1,1,1,1,1,1,1,majority
0,0,0,1,0,1,1,0,1,0,majority
1,0,0,1,0,1,0,1,1,0,majority
1,0,0,0,1,0,1,0,1,0,majority
1,0,0,1,1,1,1,0,1,0,majority
1,1,1,0,0,0,0,1,1,0,majority
0,0,0,1,1,0,0,1,1,1,majority
0,1,1,1,0,0,1,0,0,1,majority
1,0,0,0,0,1,1,1,1,0,majority
1,0,0,0,0,1,0,0,0,1,minority
1,0,0,0,1,0,1,0,0,0,minority
1,1,0,0,0,0,1,1,1,1,majority
1,0,0,1,0,0,1,0,0,1,minority
0,1,0,1,1,1,0,0,0,1,majority
0,0,0,1,1,1,0,1,1,1,majority
0,0,1,0,0,1,0,0,1,1,majority
1,0,0,0,0,0,0,0,1,0,minority
1,0,0,1,0,0,0,0,0,0,minority
0,1,1,0,0,0,1,0,1,0,majority
1,0,0,0,1,0,0,1,1,1,majority
1,1,0,0,0,0,0,1,0,0,minority
0,1,1,0,1,0,0,1,0,1,majority
0,1,0,1,0,1,0,1,1,1,majority
0,0,0,1,0,1,0,1,1,0,majority
1,0,0,0,0,1,1,0,0,0,minority
0,0,1,1,1,0,0,0,0,1,majority
1,1,1,0,0,0,1,1,1,1,majority
0,0,0,0,1,0,0,0,1,0,minority
0,0,1,1,0,0,0,1,1,1,majority
1,1,1,1,0,1,1,1,1,0,majority
0,0,1,1,0,1,1,1,0,1,majority
0,1,0,1,1,1,0,0,1,0,majority
1,1,1,0,0,0,0,0,0,1,minority
0,0,1,0,1,0,1,1,0,0,majority
1,1,0,0,0,1,0,1,0,1,minority
1,1,0,1,0,0,1,1,1,1,majority
1,0,0,1,1,1,0,1,1,0,majority
0,0,1,0,0,1,0,1,0,1,majority
1,0,1,1,1,0,0,1,0,1,majority
0,0,1,0,0,1,0,1,0,0,majority
1,1,1,0,0,1,0,0,0,0,minority
1,1,0,0,0,0,0,0,0,1,minority
0,1,1,1,1,1,0,1,0,1,majority
1,0,1,0,1,1,0,1,0,1,majority
1,1,1,1,0,1,1,1,0,0,majority
1,1,0,1,0,0,0,0,1,1,minority
1,1,0,1,1,1,0,0,1,1,majority
0,1,1,0,0,0,1,0,1,1,majority
0,0,1,1,0,0,0,0,0,1,minority
0,1,0,0,1,1,0,0,0,0,minority
1,1,0,1,0,0,1,0,1,1,majority
1,1,0,0,1,1,0,1,1,1,majority
1,0,1,0,1,0,0,1,1,1,majority
1,0,0,1,1,0,1,0,0,0,majority
1,0,0,1,0,0,0,1,1,0,majority
0,1,0,1,0,0,0,0,0,1,minority
0,0,1,0,1,1,1,1,1,1,majority
1,1,0,1,1,1,0,0,0,1,majority
0,1,1,1,0,0,1,1,0,1,majority
1,0,0,1,1,0,1,1,1,1,majority
1,0,0,1,1,1,0,1,1,1,majority
1,1,0,1,0,1,1,1,1,0,majority
1,0,0,0,1,0,1,1,1,0,majority
1,1,0,0,1,1,0,1,0,0,majority
0,1,1,1,1,1,0,0,0,1,majority
1,0,1,0,1,0,0,0,0,1,minority
0,1,1,0,0,0,0,1,1,0,majority
0,1,1,1,1,0,1,1,1,0,majority
0,0,0,0,0,0,0,1,0,0,minority
1,0,1,1,1,0,0,0,1,1,majority
1,1,1,0,0,1,0,1,1,0,majority
0,0,1,0,1,0,0,0,1,1,majority
0,1,0,1,1,0,0,0,0,1,minority
0,1,0,0,1,0,1,0,1,1,majority
1,0,1,0,1,1,0,1,1,0,majority
1,1,1,0,1,1,0,0,1,0,majority
0,1,1,0,0,1,1,1,0,0,majority
1,0,1,0,1,1,1,1,1,0,majority
0,1,1,1,1,1,0,0,1,0,majority
1,1,0,0,0,0,0,1,0,1,minority
0,0,0,1,0,1,1,0,0,1,majority
0,1,0,1,0,0,0,0,1,1,minority
0,1,1,1,1,1,0,0,1,1,majority
0,0,0,0,1,0,0,1,0,1,minority
1,0,1,0,1,1,0,0,0,0,majority
1,1,1,0,0,1,0,1,0,1,majority
1,0,1,1,1,0,0,0,0,1,majority
1,0,1,0,1,1,0,1,1,1,majority
1,1,0,0,1,0,0,1,1,1,majority
1,0,0,1,0,0,1,0,0,0,minority
0,1,0,0,0,1,0,0,0,0,minority
0,1,1,0,0,0,0,1,0,1,minority
0,0,0,0,1,0,0,1,1,0,majority
0,0,0,0,1,1,1,0,0,0,majority
0,1,0,0,0,0,1,0,0,1,minority
1,1,1,0,1,0,1,1,0,1,majority
1,1,1,1,0,1,1,0,1,0,majority
1,1,0,1,0,1,0,0,1,0,majority
0,0,0,1,0,0,1,1,1,1,majority
0,1,1,1,0,0,0,0,1,0,majority
0,0,1,1,0,0,0,1,1,0,majority
0,0,0,0,0,1,0,0,0,0,minority
1,1,1,0,0,0,1,1,0,0,majority
1,1,0,0,0,1,1,0,0,0,minority
0,0,0,1,0,0,1,1,0,1,majority
0,0,1,1,1,0,1,0,1,1,majority
1,1,0,1,1,0,0,1,1,0,majority
0,1,0,1,1,1,0,1,0,0,majority
0,1,1,0,1,1,0,0,0,0,majority
1,0,0,0,1,1,1,0,1,0,majority
1,1,0,0,0,0,1,0,0,0,minority
1,1,0,0,0,0,0,1,1,1,minority
0,0,0,0,1,0,1,0,1,1,majority
0,1,0,0,0,0,0,0,0,1,minority
0,1,1,1,0,0,0,0,1,1,majority
1,0,0,1,0,0,1,0,1,0,majority
0,1,0,1,0,0,1,1,1,1,majority
0,1,0,0,1,0,1,1,1,0,majority
0,1,1,0,1,1,0,1,1,1,majority
0,0,1,1,0,1,1,1,0,0,majority
0,1,0,0,0,1,1,1,1,0,majority
1,0,0,0,0,0,0,0,0,1,minority
0,0,1,1,1,0,0,1,0,1,majority
1,1,1,1,1,1,0,1,0,0,majority
0,0,1,0,0,1,1,0,1,1,majority
1,1,1,0,0,1,0,0,0,1,minority
1,1,1,0,0,0,1,0,0,0,minority
1,1,0,1,0,1,0,1,0,1,majority
0,1,0,1,0,1,0,1,0,1,majority
1,1,0,1,0,0,0,1,1,1,majority
1,0,0,1,1,0,0,1,1,1,majority
1,0,1,1,1,0,1,0,1,1,majority
1,1,0,1,0,1,1,0,0,1,majority
0,0,0,1,0,0,1,0,1,1,majority
0,1,1,1,1,0,1,0,0,0,majority
0,1,0,0,0,1,1,0,0,0,minority
0,0,0,0,0,0,1,1,0,1,minority
1,1,1,0,0,1,1,1,1,1,majority
1,0,0,0,0,1,0,0,0,0,minority
0,0,0,1,1,0,0,0,1,0,majority
1,0,1,0,1,0,1,0,1,0,majority
0,0,1,1,1,0,0,0,1,0,majority
1,1,1,0,0,0,0,1,0,1,minority
1,1,0,1,1,0,0,0,0,1,minority
0,0,0,0,1,1,0,1,1,0,majority
1,0,1,1,0,1,1,1,0,1,majority
0,1,1,0,1,0,1,1,1,1,majority
0,1,0,0,0,1,1,0,0,1,minority
0,1,1,1,0,0,0,0,0,0,minority
0,1,0,1,0,1,0,0,0,1,minority
1,1,1,1,1,0,0,0,0,1,majority
0,1,0,1,0,1,0,0,1,1,majority
0,1,0,0,1,0,1,0,1,0,majority
1,1,0,1,0,0,0,1,0,1,minority
1,0,0,0,1,1,0,0,1,0,majority
1,1,0,1,0,0,0,0,0,0,minority
0,0,1,0,1,1,0,0,0,1,majority
0,0,0,0,0,0,0,0,1,0,minority
0,1,0,1,0,1,1,1,0,1,majority
0,0,0,0,1,1,0,0,1,1,majority
0,1,0,1,1,0,1,1,0,0,majority
1,1,1,1,1,1,1,0,1,1,majority
0,1,1,0,0,1,0,0,1,1,majority
1,1,0,0,1,0,0,0,0,0,minority
0,0,0,0,0,1,0,1,0,1,minority
1,1,0,0,1,1,0,0,0,0,minority
1,1,0,1,1,0,0,0,1,1,majority
1,0,1,1,0,0,0,1,1,1,majority
0,1,0,1,0,1,1,0,1,0,majority
0,1,0,1,0,0,1,1,0,1,majority
0,0,1,0,1,1,0,0,0,0,majority
0,1,1,0,0,1,1,1,1,1,majority
0,1,1,1,1,0,1,0,1,1,majority
1,0,1,1,0,1,0,1,1,0,majority
1,1,0,1,0,1,0,0,1,1,majority
0,1,1,0,1,1,1,0,1,1,majority
1,0,1,1,0,1,0,1,0,1,majority
0,0,0,1,1,1,1,1,0,0,majority
1,1,0,0,1,0,1,0,1,0,majority
1,0,0,1,0,1,1,0,0,1,majority
1,1,1,0,1,1,1,1,0,1,majority
0,0,0,1,0,0,1,1,0,0,majority
0,0,0,0,0,0,1,0,0,0,minority
1,0,1,0,0,1,0,0,0,1,minority
1,1,1,1,1,0,0,1,0,0,majority
1,1,0,1,0,0,1,0,0,0,minority
0,1,1,1,1,1,1,1,0,0,majority
0,1,1,1,1,0,1,0,1,0,majority
1,1,1,1,0,0,1,0,1,1,majority
0,0,1,1,1,0,0,1,0,0,majority
1,1,1,1,1,1,0,0,0,0,majority
0,1,0,1,0,1,0,1,0,0,majority
1,0,0,1,0,0,0,1,0,1,minority
0,0,0,1,0,1,0,0,0,1,minority
0,0,0,0,0,0,1,0,1,1,minority
0,1,0,1,1,0,0,1,1,1,majority
0,0,1,1,1,1,0,0,0,0,majority
1,0,0,1,1,0,1,0,0,1,majority
1,1,0,1,1,0,1,1,1,0,majority
0,1,0,1,0,0,0,0,1,0,minority
0,0,0,0,0,0,0,1,1,1,minority
1,1,0,0,1,1,0,0,1,1,majority
0,1,1,0,1,0,0,1,1,1,majority
0,1,0,0,0,1,0,0,1,1,minority
1,0,0,0,0,1,0,1,1,0,majority
1,0,0,1,1,1,1,0,1,1,majority
0,0,1,0,0,0,1,1,0,0,majority
0,0,1,0,1,1,0,0,1,0,majority
0,1,1,1,1,1,1,0,0,0,majority
1,1,0,0,1,0,0,1,0,0,minority
0,1,0,1,0,1,1,0,0,0,majority
0,0,1,1,0,1,1,0,1,1,majority
0,1,1,0,0,1,0,0,0,1,minority
1,1,1,0,1,0,0,0,0,1,minority
1,0,0,0,1,1,1,0,0,1,majority
1,0,0,0,1,0,1,1,1,1,majority
0,1,0,0,1,1,1,1,0,0,majority
1,0,0,0,0,0,0,1,1,0,minority
0,0,0,1,1,0,0,0,1,1,majority
0,1,1,1,0,1,0,0,0,0,majority
0,1,0,1,0,0,0,1,0,0,minority
0,0,1,0,0,1,1,0,0,0,majority
0,1,1,1,0,1,0,0,1,1,majority
1,0,1,1,1,1,0,1,0,0,majority
0,1,1,0,1,0,1,1,0,0,majority
0,0,1,1,0,1,0,1,1,1,majority
0,0,1,1,0,1,1,0,0,0,majority
0,1,1,1,1,1,0,1,1,1,majority
0,1,1,1,0,1,0,0,0,1,majority
1,0,0,1,1,0,1,1,0,1,majority
0,0,0,1,1,0,1,0,0,1,majority
1,1,0,0,1,1,1,0,0,1,majority
0,0,0,1,1,1,1,0,1,1,majority
1,0,0,1,1,1,1,0,0,0,majority
0,1,0,0,0,0,1,1,1,1,majority
1,1,1,1,0,0,0,1,1,0,majority
0,0,1,0,0,1,0,1,1,0,majority
0,0,0,1,1,1,1,1,1,1,majority
1,0,1,1,0,1,0,0,0,1,majority
1,0,1,1,1,0,1,1,1,0,majority
1,1,1,1,0,1,0,1,1,0,majority
1,1,1,1,1,1,1,1,0,0,majority
0,1,0,1,0,0,0,1,0,1,minority
1,0,0,0,0,1,1,0,1,1,majority
0,0,0,0,1,0,0,0,0,0,minority
0,1,0,1,0,0,0,1,1,0,majority
1,0,0,0,0,1,1,1,1,1,majority
0,1,0,1,1,1,0,1,1,1,majority
1,0,1,0,0,1,1,0,1,0,majority
1,0,0,0,0,1,0,0,1,0,minority
0,0,0,0,0,0,1,0,1,0,minority
0,0,1,1,0,1,0,1,0,0,majority
1,1,1,0,0,0,0,0,1,0,minority
0,1,0,1,0,0,0,0,0,0,minority
0,1,0,1,0,0,1,1,1,0,majority
1,0,0,0,1,1,0,0,0,1,minority
0,0,1,0,0,0,1,0,0,1,minority
0,0,0,1,1,1,0,0,1,0,majority
1,0,1,1,1,0,1,1,0,0,majority
1,0,1,0,1,1,0,0,1,0,majority
1,0,1,1,0,1,0,0,1,1,majority
1,0,0,1,0,0,0,0,0,1,minority
0,1,1,0,1,1,1,0,0,0,majority
0,1,1,1,1,1,0,0,0,0,majority
1,0,1,0,0,0,0,0,0,0,minority
0,1,0,1,0,0,0,1,1,1,majority
1,0,1,0,0,0,0,1,1,1,majority
1,0,1,0,1,0,1,0,1,1,majority
1,0,0,1,0,1,1,0,1,0,majority
1,1,1,1,1,1,1,1,1,1,majority
0,1,0,0,0,1,0,0,0,1,minority
0,0,1,1,1,0,1,0,1,0,majority
0,0,1,1,0,0,1,0,1,1,majority
1,1,1,1,1,0,0,0,1,0,majority
0,1,1,0,1,1,0,0,0,1,majority
1,1,1,1,1,0,0,1,1,1,majority
0,1,1,0,1,0,0,1,1,0,majority
0,0,1,1,0,1,1,0,0,1,majority
1,0,0,1,1,1,1,1,0,0,majority
0,0,0,1,1,0,1,1,0,1,majority
0,0,1,0,0,1,1,1,0,1,majority
1,0,1,1,1,1,1,1,0,1,majority
1,1,0,0,0,0,1,1,0,0,minority
1,1,1,0,0,0,1,0,1,0,majority
0,1,0,1,0,1,1,1,1,1,majority
0,0,1,0,0,1,0,1,1,1,majority
0,1,0,0,0,0,0,0,1,0,minority
1,0,1,0,0,1,1,0,0,0,majority
0,0,1,1,1,0,0,1,1,0,majority
0,1,1,0,1,1,0,0,1,1,majority
0,0,1,0,0,0,1,1,1,0,majority
1,0,1,1,0,0,0,1,0,1,majority
0,0,0,1,1,1,0,0,1,1,majority
1,1,0,0,0,0,1,0,1,0,minority
1,1,0,0,0,1,0,0,1,1,minority
1,1,0,1,1,1,0,0,0,0,majority
1,1,0,0,1,1,1,1,0,1,majority
0,0,0,1,1,1,1,1,0,1,majority
0,0,1,0,1,0,1,0,1,1,majority
0,1,1,0,0,1,1,0,1,0,majority
1,1,0,1,0,1,1,0,0,0,majority
1,0,1,0,0,0,1,1,0,0,majority
0,0,0,0,1,1,0,1,0,0,majority
1,0,0,0,0,0,1,0,1,1,minority
1,0,0,0,0,0,1,1,1,1,majority
1,1,1,1,0,0,0,0,1,0,majority
1,1,1,1,1,0,1,1,1,1,majority
1,1,1,1,1,0,1,1,1,0,majority
1,0,0,0,1,1,0,1,1,1,majority
1,1,1,0,0,1,1,0,1,1,majority
1,1,1,0,1,1,1,1,1,0,majority
0,1,1,1,0,1,1,1,0,1,majority
0,0,0,0,0,1,1,0,0,0,minority
0,0,0,0,0,0,1,1,0,0,minority
0,1,0,0,0,0,1,0,1,0,minority
1,0,1,0,1,0,0,0,1,0,majority
0,0,0,1,0,1,1,1,1,1,majority
0,0,0,0,0,0,0,0,1,1,minority
0,1,0,0,1,1,0,0,1,0,majority
1,0,1,0,1,1,0,1,0,0,majority
0,0,1,1,0,1,0,0,0,0,majority
1,0,1,1,1,1,1,1,0,0,majority
0,0,0,0,1,0,1,0,1,0,majority
0,0,0,0,1,1,0,1,1,1,majority
1,0,0,0,1,0,1,0,0,1,minority
0,0,0,1,0,1,0,0,1,0,majority
1,1,0,0,0,0,0,0,1,1,minority
0,0,0,1,0,0,0,0,0,1,minority
1,0,0,1,1,0,0,0,0,0,minority
1,1,0,0,1,0,1,1,0,1,majority
0,1,0,0,1,1,0,1,0,1,majority
0,0,0,1,0,0,1,0,0,0,minority
0,0,1,1,0,1,0,0,1,0,majority
1,0,0,1,0,1,0,1,0,0,majority
0,0,0,0,1,1,0,0,0,1,minority
0,0,0,1,1,1,1,0,1,0,majority
1,1,1,1,0,0,1,1,0,0,majority
0,1,0,0,0,1,1,0,1,0,majority
0,0,1,1,0,1,0,1,1,0,majority
0,1,0,0,1,0,0,1,0,0,minority
0,0,0,1,0,0,0,1,0,1,minority
1,1,1,0,0,1,0,1,0,0,majority
0,1,1,0,1,0,0,0,1,0,majority
0,1,0,0,1,0,1,1,0,0,majority
1,0,1,1,0,0,0,0,0,1,minority
1,0,1,0,1,0,1,1,0,1,majority
1,0,1,1,0,0,0,0,1,1,majority
0,1,0,0,0,0,0,0,0,0,minority
1,1,1,1,1,0,1,1,0,1,majority
1,0,1,1,0,1,1,0,0,1,majority
0,1,1,1,1,1,1,1,0,1,majority
0,1,0,1,0,1,1,0,1,1,majority
1,0,0,0,0,0,0,1,1,1,minority
1,0,1,0,0,1,1,1,1,1,majority
1,1,0,0,0,1,1,0,1,0,majority
0,0,0,1,1,1,1,0,0,1,majority
1,0,0,0,1,1,0,0,1,1,majority
0,0,1,1,0,0,0,0,0,0,minority
0,1,1,1,0,1,1,0,1,1,majority
0,0,1,0,1,0,1,1,1,1,majority
0,1,0,1,0,1,1,1,1,0,majority
1,1,0,0,1,0,1,1,1,0,majority
1,0,0,1,1,1,1,1,1,0,majority
1,0,0,1,0,0,1,1,0,1,majority
1,1,1,1,1,1,0,1,1,0,majority
1,1,0,1,1,0,0,0,0,0,minority
0,0,1,1,1,0,0,0,0,0,majority
1,0,0,1,0,0,1,1,1,0,majority
0,1,0,1,1,0,0,0,1,0,majority
0,0,0,1,1,0,1,0,0,0,majority
0,0,0,0,1,1,1,1,1,0,majority
1,0,1,1,0,0,1,1,1,1,majority
0,1,0,1,1,1,1,0,1,0,majority
0,1,1,0,1,1,0,0,1,0,majority
0,1,1,1,1,1,1,0,1,0,majority
0,0,1,1,1,1,0,0,1,1,majority
0,1,0,0,1,1,0,1,1,1,majority
0,0,0,1,0,1,1,1,0,0,majority
1,1,1,0,1,0,0,0,1,1,majority
0,1,1,1,0,1,0,0,1,0,majority
1,1,1,0,1,0,0,1,1,0,majority
1,1,0,0,0,1,0,1,0,0,minority
1,1,1,1,0,1,0,1,1,1,majority
1,1,1,1,0,1,0,0,1,0,majority
0,1,0,0,0,0,1,1,1,0,majority
1,0,1,1,0,0,1,0,1,0,majority
0,0,1,0,1,0,1,1,0,1,majority
1,1,1,1,1,1,1,0,0,0,majority
1,1,0,1,1,1,0,1,0,1,majority
1,1,0,1,0,1,0,1,1,1,majority
1,0,0,1,1,1,1,1,0,1,majority
0,1,1,1,1,1,1,0,0,1,majority
1,0,0,0,0,1,0,0,1,1,minority
1,0,0,1,0,1,0,0,0,0,minority
1,1,1,1,1,1,0,0,0,1,majority
1,0,1,0,0,0,1,1,1,1,majority
0,1,1,1,0,1,1,1,1,0,majority
0,0,0,1,1,0,0,0,0,0,minority
0,1,0,0,1,0,1,1,0,1,majority
0,1,1,0,0,0,1,1,1,0,majority
