@relation aux
@attribute fathers_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute sons_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute family_structure {'intact','nonintact'}
@attribute race {'black','white'}
@attribute counts_for_sons_first_occupation numeric
@attribute class {'majority','minority'}
@data
'Clerk','Proprietor','nonintact','white',0,'majority'
'Clerk','Clerk','nonintact','white',26.5,'minority'
'Clerk','Salesman-Retail','nonintact','white',14.4,'majority'
'Clerk','Craftsman-Manufacturing','nonintact','white',4.8,'majority'
'Clerk','Craftsmen-Other','nonintact','white',7,'majority'
'Clerk','Craftsman-Construction','nonintact','white',9.2,'majority'
'Clerk','Service_Worker','nonintact','white',12.6,'majority'
'Clerk','Operative-Nonmanufacturing','nonintact','white',16.3,'majority'
'Clerk','Operative-Manufacturing','nonintact','white',23.8,'majority'
'Clerk','Laborer-Manufacturing','nonintact','white',5.6,'majority'
'Clerk','Laborer-Nonmanufacturing','nonintact','white',11,'majority'
'Clerk','Farmer/Farm_Manager','nonintact','white',0.8,'majority'
'Clerk','Farm_Laborer','nonintact','white',1.4,'majority'
'Salesman-Retail','Professional_Self-Employed','nonintact','white',0,'majority'
'Salesman-Retail','Professional-Salaried','nonintact','white',16.2,'majority'
'Salesman-Retail','Manager','nonintact','white',3.3,'majority'
'Salesman-Retail','Salesman-Nonretail','nonintact','white',2.5,'majority'
'Salesman-Retail','Proprietor','nonintact','white',0,'majority'
'Salesman-Retail','Clerk','nonintact','white',11.4,'majority'
'Salesman-Retail','Salesman-Retail','nonintact','white',5.9,'majority'
'Salesman-Retail','Craftsman-Manufacturing','nonintact','white',2.3,'majority'
'Salesman-Retail','Craftsmen-Other','nonintact','white',5.5,'majority'
'Salesman-Retail','Craftsman-Construction','nonintact','white',2.3,'majority'
'Salesman-Retail','Service_Worker','nonintact','white',4,'majority'
'Salesman-Retail','Operative-Nonmanufacturing','nonintact','white',10.6,'majority'
'Salesman-Retail','Operative-Manufacturing','nonintact','white',8.4,'majority'
'Salesman-Retail','Laborer-Manufacturing','nonintact','white',1.6,'majority'
'Salesman-Retail','Laborer-Nonmanufacturing','nonintact','white',6.8,'majority'
'Salesman-Retail','Farmer/Farm_Manager','nonintact','white',0,'majority'
'Salesman-Retail','Farm_Laborer','nonintact','white',0,'majority'
'Craftsman-Manufacturing','Professional_Self-Employed','nonintact','white',0,'majority'
'Craftsman-Manufacturing','Professional-Salaried','nonintact','white',10.6,'majority'
'Craftsman-Manufacturing','Manager','nonintact','white',2.6,'majority'
'Craftsman-Manufacturing','Salesman-Nonretail','nonintact','white',0.8,'majority'
'Craftsman-Manufacturing','Proprietor','nonintact','white',0,'majority'
'Craftsman-Manufacturing','Clerk','nonintact','white',9.6,'majority'
'Craftsman-Manufacturing','Salesman-Retail','nonintact','white',3.7,'majority'
'Craftsman-Manufacturing','Craftsman-Manufacturing','nonintact','white',7,'majority'
'Craftsman-Manufacturing','Craftsmen-Other','nonintact','white',3.4,'majority'
'Craftsman-Manufacturing','Craftsman-Construction','nonintact','white',2.5,'majority'
'Craftsman-Manufacturing','Service_Worker','nonintact','white',4.8,'majority'
'Craftsman-Manufacturing','Operative-Nonmanufacturing','nonintact','white',9.2,'majority'
'Craftsman-Manufacturing','Operative-Manufacturing','nonintact','white',16.8,'majority'
'Craftsman-Manufacturing','Laborer-Manufacturing','nonintact','white',3.2,'majority'
'Craftsman-Manufacturing','Laborer-Nonmanufacturing','nonintact','white',3.1,'majority'
'Craftsman-Manufacturing','Farmer/Farm_Manager','nonintact','white',0.7,'majority'
'Craftsman-Manufacturing','Farm_Laborer','nonintact','white',3.1,'majority'
'Craftsmen-Other','Professional_Self-Employed','nonintact','white',0,'majority'
'Craftsmen-Other','Professional-Salaried','nonintact','white',15.1,'majority'
'Craftsmen-Other','Manager','nonintact','white',4.1,'majority'
'Craftsmen-Other','Salesman-Nonretail','nonintact','white',1.7,'majority'
'Craftsmen-Other','Proprietor','nonintact','white',0.8,'majority'
'Craftsmen-Other','Clerk','nonintact','white',8.8,'majority'
'Craftsmen-Other','Salesman-Retail','nonintact','white',4.2,'majority'
'Craftsmen-Other','Craftsman-Manufacturing','nonintact','white',3.9,'majority'
'Craftsmen-Other','Craftsmen-Other','nonintact','white',8.6,'majority'
'Craftsmen-Other','Craftsman-Construction','nonintact','white',4.3,'majority'
'Craftsmen-Other','Service_Worker','nonintact','white',6.5,'majority'
'Craftsmen-Other','Operative-Nonmanufacturing','nonintact','white',18.3,'majority'
'Craftsmen-Other','Operative-Manufacturing','nonintact','white',11.5,'majority'
'Craftsmen-Other','Laborer-Manufacturing','nonintact','white',5.8,'majority'
'Craftsmen-Other','Laborer-Nonmanufacturing','nonintact','white',6,'majority'
'Craftsmen-Other','Farmer/Farm_Manager','nonintact','white',0,'majority'
'Craftsmen-Other','Farm_Laborer','nonintact','white',5,'majority'
'Craftsman-Construction','Professional_Self-Employed','nonintact','white',0,'majority'
'Craftsman-Construction','Professional-Salaried','nonintact','white',4.6,'majority'
'Craftsman-Construction','Manager','nonintact','white',1.9,'majority'
'Craftsman-Construction','Salesman-Nonretail','nonintact','white',0.9,'majority'
'Craftsman-Construction','Proprietor','nonintact','white',0.8,'majority'
'Craftsman-Construction','Clerk','nonintact','white',10.4,'majority'
'Craftsman-Construction','Salesman-Retail','nonintact','white',2.3,'majority'
'Craftsman-Construction','Craftsman-Manufacturing','nonintact','white',6.6,'majority'
'Craftsman-Construction','Craftsmen-Other','nonintact','white',5.8,'majority'
'Craftsman-Construction','Craftsman-Construction','nonintact','white',8.1,'majority'
'Craftsman-Construction','Service_Worker','nonintact','white',3.8,'majority'
'Craftsman-Construction','Operative-Nonmanufacturing','nonintact','white',12.8,'majority'
'Craftsman-Construction','Operative-Manufacturing','nonintact','white',13,'majority'
'Craftsman-Construction','Laborer-Manufacturing','nonintact','white',0.9,'majority'
'Craftsman-Construction','Laborer-Nonmanufacturing','nonintact','white',14,'majority'
'Craftsman-Construction','Farmer/Farm_Manager','nonintact','white',0,'majority'
'Craftsman-Construction','Farm_Laborer','nonintact','white',4.4,'majority'
'Service_Worker','Professional_Self-Employed','nonintact','white',4.2,'majority'
'Service_Worker','Professional-Salaried','nonintact','white',30.5,'minority'
'Service_Worker','Manager','nonintact','white',13.3,'minority'
'Service_Worker','Salesman-Nonretail','nonintact','white',3,'majority'
'Service_Worker','Proprietor','nonintact','white',0.9,'majority'
'Service_Worker','Clerk','nonintact','white',40.7,'minority'
'Service_Worker','Salesman-Retail','nonintact','white',15.6,'majority'
'Service_Worker','Craftsman-Manufacturing','nonintact','white',13.7,'minority'
'Service_Worker','Craftsmen-Other','nonintact','white',22.9,'minority'
'Service_Worker','Craftsman-Construction','nonintact','white',13.1,'minority'
'Service_Worker','Service_Worker','nonintact','white',21.5,'minority'
'Service_Worker','Operative-Nonmanufacturing','nonintact','white',37.5,'minority'
'Service_Worker','Operative-Manufacturing','nonintact','white',39.3,'minority'
'Service_Worker','Laborer-Manufacturing','nonintact','white',13,'majority'
'Service_Worker','Laborer-Nonmanufacturing','nonintact','white',36.2,'minority'
'Service_Worker','Farmer/Farm_Manager','nonintact','white',0.9,'majority'
'Service_Worker','Farm_Laborer','nonintact','white',18.9,'majority'
'Operative-Nonmanufacturing','Professional_Self-Employed','nonintact','white',0.7,'majority'
'Operative-Nonmanufacturing','Professional-Salaried','nonintact','white',12.5,'majority'
'Operative-Nonmanufacturing','Manager','nonintact','white',6,'minority'
'Operative-Nonmanufacturing','Salesman-Nonretail','nonintact','white',0.8,'majority'
'Operative-Nonmanufacturing','Proprietor','nonintact','white',0,'majority'
'Operative-Nonmanufacturing','Clerk','nonintact','white',19.5,'majority'
'Operative-Nonmanufacturing','Salesman-Retail','nonintact','white',8.4,'majority'
'Operative-Nonmanufacturing','Craftsman-Manufacturing','nonintact','white',8,'majority'
'Operative-Nonmanufacturing','Craftsmen-Other','nonintact','white',11.1,'minority'
'Operative-Nonmanufacturing','Craftsman-Construction','nonintact','white',4.1,'majority'
'Operative-Nonmanufacturing','Service_Worker','nonintact','white',11.1,'majority'
'Operative-Nonmanufacturing','Operative-Nonmanufacturing','nonintact','white',51.5,'minority'
'Operative-Nonmanufacturing','Operative-Manufacturing','nonintact','white',23,'minority'
'Operative-Nonmanufacturing','Laborer-Manufacturing','nonintact','white',8.2,'majority'
'Operative-Nonmanufacturing','Laborer-Nonmanufacturing','nonintact','white',13,'majority'
'Operative-Nonmanufacturing','Farmer/Farm_Manager','nonintact','white',1.7,'majority'
'Operative-Nonmanufacturing','Farm_Laborer','nonintact','white',7.1,'majority'
'Operative-Manufacturing','Professional_Self-Employed','nonintact','white',1.6,'majority'
'Operative-Manufacturing','Professional-Salaried','nonintact','white',25.7,'minority'
'Operative-Manufacturing','Manager','nonintact','white',8,'minority'
'Operative-Manufacturing','Salesman-Nonretail','nonintact','white',5.6,'majority'
'Operative-Manufacturing','Proprietor','nonintact','white',0.7,'majority'
'Operative-Manufacturing','Clerk','nonintact','white',29.7,'minority'
'Operative-Manufacturing','Salesman-Retail','nonintact','white',6.2,'majority'
'Operative-Manufacturing','Craftsman-Manufacturing','nonintact','white',14.1,'minority'
'Operative-Manufacturing','Craftsmen-Other','nonintact','white',14.4,'minority'
'Operative-Manufacturing','Craftsman-Construction','nonintact','white',7,'majority'
'Operative-Manufacturing','Service_Worker','nonintact','white',10.8,'majority'
'Operative-Manufacturing','Operative-Nonmanufacturing','nonintact','white',30.4,'minority'
'Operative-Manufacturing','Operative-Manufacturing','nonintact','white',68.3,'minority'
'Operative-Manufacturing','Laborer-Manufacturing','nonintact','white',13.4,'majority'
'Operative-Manufacturing','Laborer-Nonmanufacturing','nonintact','white',22.3,'majority'
'Operative-Manufacturing','Farmer/Farm_Manager','nonintact','white',3.3,'majority'
'Operative-Manufacturing','Farm_Laborer','nonintact','white',3.2,'majority'
'Laborer-Manufacturing','Professional_Self-Employed','nonintact','white',0,'majority'
'Laborer-Manufacturing','Professional-Salaried','nonintact','white',1.8,'majority'
'Laborer-Manufacturing','Manager','nonintact','white',0.8,'majority'
'Laborer-Manufacturing','Salesman-Nonretail','nonintact','white',1,'majority'
'Laborer-Manufacturing','Proprietor','nonintact','white',0,'majority'
'Laborer-Manufacturing','Clerk','nonintact','white',2.3,'majority'
'Laborer-Manufacturing','Salesman-Retail','nonintact','white',2.4,'majority'
'Laborer-Manufacturing','Craftsman-Manufacturing','nonintact','white',0.4,'majority'
'Laborer-Manufacturing','Craftsmen-Other','nonintact','white',1.5,'majority'
'Laborer-Manufacturing','Craftsman-Construction','nonintact','white',0.8,'majority'
'Laborer-Manufacturing','Service_Worker','nonintact','white',2.5,'majority'
'Laborer-Manufacturing','Operative-Nonmanufacturing','nonintact','white',3,'majority'
'Laborer-Manufacturing','Operative-Manufacturing','nonintact','white',8.8,'majority'
'Laborer-Manufacturing','Laborer-Manufacturing','nonintact','white',5.2,'majority'
'Laborer-Manufacturing','Laborer-Nonmanufacturing','nonintact','white',1.4,'majority'
'Laborer-Manufacturing','Farmer/Farm_Manager','nonintact','white',0,'majority'
'Laborer-Manufacturing','Farm_Laborer','nonintact','white',0.4,'majority'
'Laborer-Nonmanufacturing','Professional_Self-Employed','nonintact','white',0,'majority'
'Laborer-Nonmanufacturing','Professional-Salaried','nonintact','white',2.6,'majority'
'Laborer-Nonmanufacturing','Manager','nonintact','white',0,'majority'
'Laborer-Nonmanufacturing','Salesman-Nonretail','nonintact','white',0,'majority'
'Laborer-Nonmanufacturing','Proprietor','nonintact','white',0,'majority'
'Laborer-Nonmanufacturing','Clerk','nonintact','white',5.4,'majority'
'Laborer-Nonmanufacturing','Salesman-Retail','nonintact','white',1.6,'majority'
'Laborer-Nonmanufacturing','Craftsman-Manufacturing','nonintact','white',6.6,'majority'
'Laborer-Nonmanufacturing','Craftsmen-Other','nonintact','white',0.8,'majority'
'Laborer-Nonmanufacturing','Craftsman-Construction','nonintact','white',1.6,'majority'
'Laborer-Nonmanufacturing','Service_Worker','nonintact','white',0.7,'majority'
'Laborer-Nonmanufacturing','Operative-Nonmanufacturing','nonintact','white',6.9,'majority'
'Laborer-Nonmanufacturing','Operative-Manufacturing','nonintact','white',7.3,'majority'
'Laborer-Nonmanufacturing','Laborer-Manufacturing','nonintact','white',2.4,'majority'
'Laborer-Nonmanufacturing','Laborer-Nonmanufacturing','nonintact','white',15,'majority'
'Laborer-Nonmanufacturing','Farmer/Farm_Manager','nonintact','white',0,'majority'
'Laborer-Nonmanufacturing','Farm_Laborer','nonintact','white',3.4,'majority'
'Farmer/Farm_Manager','Professional_Self-Employed','nonintact','white',0.8,'majority'
'Farmer/Farm_Manager','Professional-Salaried','nonintact','white',16.9,'majority'
'Farmer/Farm_Manager','Manager','nonintact','white',5.1,'minority'
'Farmer/Farm_Manager','Salesman-Nonretail','nonintact','white',4.1,'majority'
'Farmer/Farm_Manager','Proprietor','nonintact','white',0.8,'majority'
'Farmer/Farm_Manager','Clerk','nonintact','white',8.6,'majority'
'Farmer/Farm_Manager','Salesman-Retail','nonintact','white',8.7,'majority'
'Farmer/Farm_Manager','Craftsman-Manufacturing','nonintact','white',6.2,'minority'
'Farmer/Farm_Manager','Craftsmen-Other','nonintact','white',12.8,'minority'
'Farmer/Farm_Manager','Craftsman-Construction','nonintact','white',14.7,'minority'
'Farmer/Farm_Manager','Service_Worker','nonintact','white',10.1,'minority'
'Farmer/Farm_Manager','Operative-Nonmanufacturing','nonintact','white',29.7,'minority'
'Farmer/Farm_Manager','Operative-Manufacturing','nonintact','white',37.1,'minority'
'Farmer/Farm_Manager','Laborer-Manufacturing','nonintact','white',17,'majority'
'Farmer/Farm_Manager','Laborer-Nonmanufacturing','nonintact','white',28,'majority'
'Farmer/Farm_Manager','Farmer/Farm_Manager','nonintact','white',29,'minority'
'Farmer/Farm_Manager','Farm_Laborer','nonintact','white',88.6,'majority'
'Farm_Laborer','Professional_Self-Employed','nonintact','white',0,'majority'
'Farm_Laborer','Professional-Salaried','nonintact','white',5.5,'majority'
'Farm_Laborer','Manager','nonintact','white',0,'majority'
'Farm_Laborer','Salesman-Nonretail','nonintact','white',0,'majority'
'Farm_Laborer','Proprietor','nonintact','white',0,'majority'
'Farm_Laborer','Clerk','nonintact','white',5.7,'majority'
'Farm_Laborer','Salesman-Retail','nonintact','white',2.1,'majority'
'Farm_Laborer','Craftsman-Manufacturing','nonintact','white',3.7,'majority'
'Farm_Laborer','Craftsmen-Other','nonintact','white',8.8,'majority'
'Farm_Laborer','Craftsman-Construction','nonintact','white',0.7,'majority'
'Farm_Laborer','Service_Worker','nonintact','white',2.4,'majority'
'Farm_Laborer','Operative-Nonmanufacturing','nonintact','white',5.1,'majority'
'Farm_Laborer','Operative-Manufacturing','nonintact','white',9.3,'minority'
'Farm_Laborer','Laborer-Manufacturing','nonintact','white',8.1,'majority'
'Farm_Laborer','Laborer-Nonmanufacturing','nonintact','white',9.4,'majority'
'Farm_Laborer','Farmer/Farm_Manager','nonintact','white',2,'majority'
'Farm_Laborer','Farm_Laborer','nonintact','white',46.2,'majority'
'Professional_Self-Employed','Professional_Self-Employed','intact','black',1.2,'majority'
'Professional_Self-Employed','Professional-Salaried','intact','black',0.9,'majority'
'Professional_Self-Employed','Manager','intact','black',0.5,'majority'
'Professional_Self-Employed','Salesman-Nonretail','intact','black',0,'majority'
'Professional_Self-Employed','Proprietor','intact','black',0,'majority'
'Professional_Self-Employed','Clerk','intact','black',1.1,'majority'
'Professional_Self-Employed','Salesman-Retail','intact','black',0.6,'majority'
'Professional_Self-Employed','Craftsman-Manufacturing','intact','black',0,'majority'
'Professional_Self-Employed','Craftsmen-Other','intact','black',0,'majority'
'Professional_Self-Employed','Craftsman-Construction','intact','black',0,'majority'
'Professional_Self-Employed','Service_Worker','intact','black',0,'majority'
'Professional_Self-Employed','Operative-Nonmanufacturing','intact','black',0,'majority'
'Professional_Self-Employed','Operative-Manufacturing','intact','black',0.4,'majority'
'Professional_Self-Employed','Laborer-Manufacturing','intact','black',0,'majority'
'Professional_Self-Employed','Laborer-Nonmanufacturing','intact','black',0,'majority'
'Professional_Self-Employed','Farmer/Farm_Manager','intact','black',0,'majority'
'Professional_Self-Employed','Farm_Laborer','intact','black',0.5,'majority'
'Professional-Salaried','Professional_Self-Employed','intact','black',0.6,'majority'
'Professional-Salaried','Professional-Salaried','intact','black',8.6,'majority'
'Professional-Salaried','Manager','intact','black',2,'majority'
'Professional-Salaried','Salesman-Nonretail','intact','black',0.9,'majority'
'Professional-Salaried','Proprietor','intact','black',0,'majority'
'Professional-Salaried','Clerk','intact','black',2.6,'majority'
'Professional-Salaried','Salesman-Retail','intact','black',1,'majority'
'Professional-Salaried','Craftsman-Manufacturing','intact','black',0.6,'majority'
'Professional-Salaried','Craftsmen-Other','intact','black',0,'majority'
'Professional-Salaried','Craftsman-Construction','intact','black',0,'majority'
'Professional-Salaried','Service_Worker','intact','black',3.6,'majority'
'Professional-Salaried','Operative-Nonmanufacturing','intact','black',1.7,'majority'
'Professional-Salaried','Operative-Manufacturing','intact','black',1.8,'majority'
'Professional-Salaried','Laborer-Manufacturing','intact','black',1.1,'majority'
'Professional-Salaried','Laborer-Nonmanufacturing','intact','black',0.9,'majority'
'Professional-Salaried','Farmer/Farm_Manager','intact','black',0,'majority'
'Professional-Salaried','Farm_Laborer','intact','black',0.7,'majority'
'Manager','Professional_Self-Employed','intact','black',0,'majority'
'Manager','Professional-Salaried','intact','black',2.2,'majority'
'Manager','Manager','intact','black',0,'majority'
'Manager','Salesman-Nonretail','intact','black',0,'majority'
'Manager','Proprietor','intact','black',0,'majority'
'Manager','Clerk','intact','black',2.4,'majority'
'Manager','Salesman-Retail','intact','black',1.3,'majority'
'Manager','Craftsman-Manufacturing','intact','black',0,'majority'
'Manager','Craftsmen-Other','intact','black',0.6,'majority'
'Manager','Craftsman-Construction','intact','black',0,'majority'
'Manager','Service_Worker','intact','black',0.7,'majority'
'Manager','Operative-Nonmanufacturing','intact','black',0.5,'majority'
'Manager','Operative-Manufacturing','intact','black',0.4,'majority'
'Manager','Laborer-Manufacturing','intact','black',0,'majority'
'Manager','Laborer-Nonmanufacturing','intact','black',1.2,'majority'
'Manager','Farmer/Farm_Manager','intact','black',0,'majority'
'Manager','Farm_Laborer','intact','black',0,'majority'
'Salesman-Nonretail','Professional_Self-Employed','intact','black',0,'majority'
'Salesman-Nonretail','Professional-Salaried','intact','black',1.3,'majority'
'Salesman-Nonretail','Manager','intact','black',0.7,'majority'
'Salesman-Nonretail','Salesman-Nonretail','intact','black',0,'majority'
'Salesman-Nonretail','Proprietor','intact','black',0,'majority'
'Salesman-Nonretail','Clerk','intact','black',0.5,'majority'
'Salesman-Nonretail','Salesman-Retail','intact','black',0,'majority'
'Salesman-Nonretail','Craftsman-Manufacturing','intact','black',0,'majority'
'Salesman-Nonretail','Craftsmen-Other','intact','black',0,'majority'
'Salesman-Nonretail','Craftsman-Construction','intact','black',0,'majority'
'Salesman-Nonretail','Service_Worker','intact','black',0,'majority'
'Salesman-Nonretail','Operative-Nonmanufacturing','intact','black',0.6,'majority'
'Salesman-Nonretail','Operative-Manufacturing','intact','black',0,'majority'
'Salesman-Nonretail','Laborer-Manufacturing','intact','black',0,'majority'
'Salesman-Nonretail','Laborer-Nonmanufacturing','intact','black',0,'majority'
'Salesman-Nonretail','Farmer/Farm_Manager','intact','black',0,'majority'
'Salesman-Nonretail','Farm_Laborer','intact','black',0,'majority'
'Proprietor','Professional_Self-Employed','intact','black',0,'majority'
'Proprietor','Professional-Salaried','intact','black',1.3,'majority'
'Proprietor','Manager','intact','black',0.6,'majority'
'Proprietor','Salesman-Nonretail','intact','black',0.5,'majority'
'Proprietor','Proprietor','intact','black',0.5,'majority'
'Proprietor','Clerk','intact','black',1.1,'majority'
'Proprietor','Salesman-Retail','intact','black',0,'majority'
'Proprietor','Craftsman-Manufacturing','intact','black',0.4,'majority'
'Proprietor','Craftsmen-Other','intact','black',0.6,'majority'
'Proprietor','Craftsman-Construction','intact','black',0.9,'majority'
'Proprietor','Service_Worker','intact','black',2,'majority'
'Proprietor','Operative-Nonmanufacturing','intact','black',0.8,'majority'
'Proprietor','Operative-Manufacturing','intact','black',2.9,'majority'
'Proprietor','Laborer-Manufacturing','intact','black',0,'majority'
'Proprietor','Laborer-Nonmanufacturing','intact','black',0.4,'majority'
'Proprietor','Farmer/Farm_Manager','intact','black',0,'majority'
'Proprietor','Farm_Laborer','intact','black',0,'majority'
'Clerk','Professional_Self-Employed','intact','black',0.4,'majority'
'Clerk','Professional-Salaried','intact','black',3.6,'majority'
'Clerk','Manager','intact','black',0.6,'majority'
'Clerk','Salesman-Nonretail','intact','black',0,'majority'
'Clerk','Proprietor','intact','black',0,'majority'
'Clerk','Clerk','intact','black',6.3,'majority'
'Clerk','Salesman-Retail','intact','black',0.4,'majority'
'Clerk','Craftsman-Manufacturing','intact','black',1.3,'majority'
'Clerk','Craftsmen-Other','intact','black',2.9,'majority'
'Clerk','Craftsman-Construction','intact','black',0,'majority'
'Clerk','Service_Worker','intact','black',4.3,'majority'
'Clerk','Operative-Nonmanufacturing','intact','black',2.9,'majority'
'Clerk','Operative-Manufacturing','intact','black',5.7,'majority'
'Clerk','Laborer-Manufacturing','intact','black',1.8,'majority'
'Clerk','Laborer-Nonmanufacturing','intact','black',0,'majority'
'Clerk','Farmer/Farm_Manager','intact','black',0,'majority'
'Clerk','Farm_Laborer','intact','black',0.9,'majority'
'Salesman-Retail','Professional_Self-Employed','intact','black',0,'majority'
'Salesman-Retail','Professional-Salaried','intact','black',0,'majority'
'Salesman-Retail','Manager','intact','black',0,'majority'
'Salesman-Retail','Salesman-Nonretail','intact','black',0,'majority'
'Salesman-Retail','Proprietor','intact','black',0,'majority'
'Salesman-Retail','Clerk','intact','black',0.5,'majority'
'Salesman-Retail','Salesman-Retail','intact','black',0.6,'majority'
'Salesman-Retail','Craftsman-Manufacturing','intact','black',0,'majority'
'Salesman-Retail','Craftsmen-Other','intact','black',0.5,'majority'
'Salesman-Retail','Craftsman-Construction','intact','black',0,'majority'
'Salesman-Retail','Service_Worker','intact','black',0,'majority'
'Salesman-Retail','Operative-Nonmanufacturing','intact','black',0.5,'majority'
'Salesman-Retail','Operative-Manufacturing','intact','black',0.8,'majority'
'Salesman-Retail','Laborer-Manufacturing','intact','black',0,'majority'
'Salesman-Retail','Laborer-Nonmanufacturing','intact','black',1.4,'majority'
'Salesman-Retail','Farmer/Farm_Manager','intact','black',0,'majority'
'Salesman-Retail','Farm_Laborer','intact','black',0,'majority'
'Craftsman-Manufacturing','Professional_Self-Employed','intact','black',0,'majority'
'Craftsman-Manufacturing','Professional-Salaried','intact','black',3.2,'majority'
'Craftsman-Manufacturing','Manager','intact','black',0,'majority'
'Craftsman-Manufacturing','Salesman-Nonretail','intact','black',0.8,'majority'
'Craftsman-Manufacturing','Proprietor','intact','black',0,'majority'
'Craftsman-Manufacturing','Clerk','intact','black',6.5,'majority'
'Craftsman-Manufacturing','Salesman-Retail','intact','black',1.9,'majority'
'Craftsman-Manufacturing','Craftsman-Manufacturing','intact','black',1.5,'majority'
'Craftsman-Manufacturing','Craftsmen-Other','intact','black',0.6,'majority'
'Craftsman-Manufacturing','Craftsman-Construction','intact','black',1,'majority'
'Craftsman-Manufacturing','Service_Worker','intact','black',2.7,'majority'
'Craftsman-Manufacturing','Operative-Nonmanufacturing','intact','black',2,'majority'
'Craftsman-Manufacturing','Operative-Manufacturing','intact','black',7.5,'majority'
'Craftsman-Manufacturing','Laborer-Manufacturing','intact','black',3.7,'majority'
'Craftsman-Manufacturing','Laborer-Nonmanufacturing','intact','black',5.2,'majority'
'Craftsman-Manufacturing','Farmer/Farm_Manager','intact','black',0,'majority'
'Craftsman-Manufacturing','Farm_Laborer','intact','black',0,'majority'
'Craftsmen-Other','Professional_Self-Employed','intact','black',0,'majority'
'Craftsmen-Other','Professional-Salaried','intact','black',5.1,'majority'
'Craftsmen-Other','Manager','intact','black',2.2,'majority'
'Craftsmen-Other','Salesman-Nonretail','intact','black',1,'majority'
'Craftsmen-Other','Proprietor','intact','black',0.6,'majority'
'Craftsmen-Other','Clerk','intact','black',6.8,'majority'
'Craftsmen-Other','Salesman-Retail','intact','black',1,'majority'
'Craftsmen-Other','Craftsman-Manufacturing','intact','black',1.5,'majority'
'Craftsmen-Other','Craftsmen-Other','intact','black',2.6,'majority'
'Craftsmen-Other','Craftsman-Construction','intact','black',1.1,'majority'
'Craftsmen-Other','Service_Worker','intact','black',5.1,'majority'
'Craftsmen-Other','Operative-Nonmanufacturing','intact','black',8.4,'majority'
'Craftsmen-Other','Operative-Manufacturing','intact','black',9.3,'majority'
'Craftsmen-Other','Laborer-Manufacturing','intact','black',3.5,'majority'
'Craftsmen-Other','Laborer-Nonmanufacturing','intact','black',4,'majority'
'Craftsmen-Other','Farmer/Farm_Manager','intact','black',0,'majority'
'Craftsmen-Other','Farm_Laborer','intact','black',2.1,'majority'
'Craftsman-Construction','Professional_Self-Employed','intact','black',0.5,'majority'
'Craftsman-Construction','Professional-Salaried','intact','black',4.1,'majority'
'Craftsman-Construction','Manager','intact','black',3,'majority'
'Craftsman-Construction','Salesman-Nonretail','intact','black',1.1,'majority'
'Craftsman-Construction','Proprietor','intact','black',0,'majority'
'Craftsman-Construction','Clerk','intact','black',5.2,'majority'
'Craftsman-Construction','Salesman-Retail','intact','black',0,'majority'
'Craftsman-Construction','Craftsman-Manufacturing','intact','black',1.1,'majority'
'Craftsman-Construction','Craftsmen-Other','intact','black',0,'majority'
'Craftsman-Construction','Craftsman-Construction','intact','black',6.7,'majority'
'Craftsman-Construction','Service_Worker','intact','black',4.2,'majority'
'Craftsman-Construction','Operative-Nonmanufacturing','intact','black',8.3,'majority'
'Craftsman-Construction','Operative-Manufacturing','intact','black',10.5,'majority'
'Craftsman-Construction','Laborer-Manufacturing','intact','black',4,'majority'
'Craftsman-Construction','Laborer-Nonmanufacturing','intact','black',6.2,'majority'
'Craftsman-Construction','Farmer/Farm_Manager','intact','black',0,'majority'
'Craftsman-Construction','Farm_Laborer','intact','black',1.4,'majority'
'Service_Worker','Professional_Self-Employed','intact','black',0.5,'majority'
'Service_Worker','Professional-Salaried','intact','black',6.4,'majority'
'Service_Worker','Manager','intact','black',1.6,'majority'
'Service_Worker','Salesman-Nonretail','intact','black',0.4,'majority'
'Service_Worker','Proprietor','intact','black',0,'majority'
'Service_Worker','Clerk','intact','black',10.2,'majority'
'Service_Worker','Salesman-Retail','intact','black',0.9,'majority'
'Service_Worker','Craftsman-Manufacturing','intact','black',1,'majority'
'Service_Worker','Craftsmen-Other','intact','black',5.4,'majority'
'Service_Worker','Craftsman-Construction','intact','black',2.7,'majority'
'Service_Worker','Service_Worker','intact','black',13.7,'majority'
'Service_Worker','Operative-Nonmanufacturing','intact','black',10.8,'majority'
'Service_Worker','Operative-Manufacturing','intact','black',11.3,'majority'
'Service_Worker','Laborer-Manufacturing','intact','black',3.7,'majority'
'Service_Worker','Laborer-Nonmanufacturing','intact','black',10.4,'majority'
'Service_Worker','Farmer/Farm_Manager','intact','black',0,'majority'
